tmdb_id;title;year;runtime;rating;cast;genres
"644479";"Dedicated to my ex";2019;94;83;Raúl Santana|Nataly Valencia|Carlos Alcántara|Biassini Segura|Mariana Treviño|Eugenio Derbez|Orlando Herrera|Alfredo Espinoza;Drama|Comedy
"207";"Dead Poets Society";1989;128;83;Robin Williams|Ethan Hawke|Robert Sean Leonard|Gale Hansen|Josh Charles|Dylan Kussman|Allelon Ruggiero|James Waterston|Norman Lloyd;Drama
"105";"Back to the Future";1985;116;83;Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover|Thomas F. Wilson|Claudia Wells|Marc McClure|Wendie Jo Sperber|George DiCenzo;Adventure|Comedy|Science_Fiction
"568300";"BTS World Tour: Love Yourself in Seoul";2019;113;83;Kim Nam-joon|Kim Seok-jin|Min Yoon-gi|Jung Ho-seok|Park Ji-min|Kim Tae-hyung|Jeon Jung-kook;Music
"3082";"Modern Times";1936;87;83;Charlie Chaplin|Paulette Goddard|Henry Bergman|Tiny Sandford|Chester Conklin|Hank Mann|Stanley Blystone|Al Ernest Garcia|Richard Alexander;Comedy|Drama
"20334";"The Shop Around the Corner";1940;99;83;Margaret Sullavan|James Stewart|Frank Morgan|Joseph Schildkraut|Sara Haden|Felix Bressart|William Tracy|Inez Courtney|Sarah Edwards;Comedy|Drama|Romance
"527641";"Five Feet Apart";2019;116;83;Haley Lu Richardson|Cole Sprouse|Moisés Arias|Kimberly Hebert Gregory|Parminder Nagra|Claire Forlani|Emily Baldoni|Gary Weeks|Rebecca Chulew;Romance|Drama
"630566";"Clouds";2020;121;83;Steffan Argus|Sabrina Carpenter|Madison Iseman|Neve Campbell|Tom Everett Scott|Lil Rel Howery|Summer H. Howell|Vivien Endicott Douglas|Dylan Everett;Music|Drama|Romance
"25237";"Come and See";1985;142;83;Aleksei Kravchenko|Olga Mironova|Liubomiras Laucevicius|Vladas Bagdonas|Jüri Lumiste|Viktors Lorencs|Kazimir Rabetsky|Yevgeni Tilicheyev;Drama|War
"447362";"Life in a Year";2020;107;83;Jaden Smith|Cara Delevingne|Cuba Gooding Jr.|Nia Long|RZA|JT Neal|Chris D'Elia|Harper Gunn|Dan Tymon;Drama|Romance
"16672";"Woman in the Dunes";1964;147;83;Eiji Okada|Kyōko Kishida|Kōji Mitsui|Sen Yano;Drama|Thriller
"335";"Once Upon a Time in the West";1968;166;83;Claudia Cardinale|Henry Fonda|Jason Robards|Charles Bronson|Gabriele Ferzetti|Paolo Stoppa|Woody Strode|Jack Elam|Keenan Wynn;Drama|Western
"361743";"Top Gun: Maverick";2022;131;83;Tom Cruise|Miles Teller|Jennifer Connelly|Jon Hamm|Glen Powell|Ed Harris|Val Kilmer|Lewis Pullman|Charles Parnell;Action|Drama
"315162";"Puss in Boots: The Last Wish";2022;103;83;Antonio Banderas|Salma Hayek|Harvey Guillén|Wagner Moura|Florence Pugh|Olivia Colman|Ray Winstone|Samson Kayo|John Mulaney;Animation|Family|Fantasy|Adventure|Comedy
"283566";"Evangelion: 3.0+1.0 Thrice Upon a Time";2021;155;83;Megumi Ogata|Yuko Miyamura|Maaya Sakamoto|Megumi Hayashibara|Kotono Mitsuishi|Yuriko Yamaguchi|Tomokazu Seki|Tetsuya Iwanaga|Junko Iwao;Animation|Action|Science_Fiction|Drama
